Round,All India Rank,Choice No.,Institute,Course,Allotted Quota,Allotted/Candidate Category,Cand_Cat_Split,Status
1,21053,2,"R.G. KAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Fresh Allotment
1,21062,7,ESI PGI MSR AND ESIC MEDICAL COLLEGE JOKA KOLKATA,MBBS,State Quota,UR,General,Fresh Allotment
1,21114,4,"CALCUTTA NATIONAL MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Fresh Allotment
1,21126,6,"BANKURA SAMMILANI MEDICAL COLLEGE, BANKURA",MBBS,State Quota,UR,General,Fresh Allotment
1,21128,8,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
1,21136,7,"MIDNAPORE MEDICAL COLLEGE, MIDNAPUR",MBBS,State Quota,UR,General,Fresh Allotment
1,21140,5,"NORTH BENGAL MEDICAL COLLEGE AND HOSPITAL, DARJEELING",MBBS,State Quota,UR,General,Fresh Allotment
1,21145,7,"BANKURA SAMMILANI MEDICAL COLLEGE, BANKURA",MBBS,State Quota,UR,General,Fresh Allotment
1,21149,7,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
1,21161,8,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
1,21168,7,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
1,21206,1,SARAT CHANDRA CHATTOPADHYAY GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,MBBS,State Quota,UR,General,Fresh Allotment
1,21212,7,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
1,21222,6,"COLLEGE OF MEDICINE AND SAGORE DUTTA HOSPITAL, KAMARHATI",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Fresh Allotment
1,21224,8,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
1,21263,6,"COLLEGE OF MEDICINE AND SAGORE DUTTA HOSPITAL, KAMARHATI",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Fresh Allotment
1,21267,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,EWS,EWS,Fresh Allotment
1,21273,6,"COLLEGE OF MEDICINE AND SAGORE DUTTA HOSPITAL, KAMARHATI",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Fresh Allotment
1,21292,8,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
1,21359,6,"BURDWAN MEDICAL COLLEGE, BURDWAN",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Fresh Allotment
1,21368,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,EWS,EWS,Fresh Allotment
1,21371,6,"BANKURA SAMMILANI MEDICAL COLLEGE, BANKURA",MBBS,State Quota,UR,General,Fresh Allotment
1,21378,7,"BANKURA SAMMILANI MEDICAL COLLEGE, BANKURA",MBBS,State Quota,UR,General,Fresh Allotment
1,21381,8,"COLLEGE OF MEDICINE AND JNM HOSPITAL, KALYANI",MBBS,State Quota,UR,General,Fresh Allotment
